Apache
id,제목,조치방안,취약,조치 후 취약여부
1,웹 서비스 영역의 분리 ,기본 디렉터리 변경,False,
2,불필요한 파일 제거,매뉴얼 디렉터리 삭제,False,
3, 링크 사용 금지,심볼릭 링크 사용 제한 및 Alias 사용 제한,False,
4,파일 업로드 및 다운로드 제한 조치,파일 업로드 및 다운로드 용량 제한 설정,False,
5,디렉터리 리스팅 제거,Options Indexes FollowSymLinks 주석처리,False,
6,웹 프로세스 권한 제한,apache 데몬 user/group 일반계정으로 변경,False,
7,최신 보안 패치 적용,apache 최신 버전으로 업데이트,False,
Linux
id,제목,조치방안,취약,조치 후 취약여부
1,root 계정 원격 접속 제한,sshd_config 파일에서 PermitRootLogin no 로 설정,True,
2,패스워드 복잡도 설정,enforce_for_root 확 인 및 pwquailty.conf  파일에서 복잡도 설정 확인,True,
3,계정 잠금 임계값 설정,system-auth 파일수 정 및 password-auth 파일 확인,True,
4,패스워드 최대 사용 기간 설정,패스워드 최대 사용 기간 90일 이하로 설정 및 계정별 패스워드 최대사용 기간 설정,True,
5,패스워드 파일 보호,쉐도우 패스워드 정책 적용 및 일반 패스워드 정책 적용,False,
6,"root 홈, 패스 디렉터리 권한 패스 설정",/etc/profile 파일에서 PATH=$PATH:$HOME/bin로 수정,False,
7,파일 및 디렉터리 소유자 설정,소유자가 존재하지 않는 파일은 rm으로 삭제 및 파일이 필요한 경우 chown으로 소유자 변경,False,
8,/etc/passwd 파일 소유자 및 권한 설정 ,파일 소유자 root로 변경 및 권한 변경,False,
9,/etc/shadow 파일 소유자 및 권한 설정,파일 소유자 root로 변경 및 권한 변경,False,
10,/etc/hosts 파일 소유자 및 권한 설정 ,파일 소유자 root로 변경 및 권한 변경,False,
11,/etc/(x)inetd.conf 파일 소유자 및 권한 설정,파일 소유자 root로 변경 및 권한 변경,False,
12,/etc/syslog.conf 파일 소유자 및 권한 설정 ,파일 소유자 root로 변경 및 권한 변경,False,
13,/etc/services 파일 소유자 및 권한 설정 ,파일 소유자 root로 변경 및 권한 변경,False,
14,"SUID, SGID, Sticky bit 설정 파일 점검","SUID, SGID Sticky bit 설정 파일 제거 및 주기적인 감사 및 반드시 사용이 필요한 경우 특정 그룹에서만 사용하도록 제한(일반 사용자의 Setuid 사용을 제한함, 임의의 그룹만 가능)",True,
15,"사용자, 시스템 시작파일, 환경파일 소유자 및 권한 설정",소유자 변경  및 일반 사용자 쓰기 권한 제거,True,
16, world writable 파일 점검,파일 존재시 설정 이유 확인 및 일반 사용자 쓰기 권한 제거,True,
17,"$HOME/.rhosts, hosts.equiv 사용 금지",".rhosts, hosts.equiv 파일 미사용 시 파일 삭제 및 .rhosts, hosts.equiv 파일 사용 시 ( 파일의 소유자 root 또는, 해당 계정으로 변경, 파일의 퍼미션을 600 이하로 변경, 파일에서 “+”를 제거하고 허용 호스트 및 계정 등록)",False,
18,접속 IP 및 포트 제한,"/etc/hosts.deny 파일 수정(vi /etc/hosts.deny, ALL deny 설정 ALL:ALL), 및 /etc/hosts.allow 파일 수정 (vi /etc/hosts.allow, 접속 허용 서비스 및 IP 설정 (예시) sshd : 192.168.0.148)",True,
19,cron 파일 소유자 및 권한 설정,/etc/cron.allow & /etc/cron.deny 파일의 소유자 및 권한 변경,True,
20,finger 서비스 비활성화 확인,/etc/xinetd.d/finger  파일에서 disanble=no 로 서비스 비활성화 설정,False,
21,익명 FTP 접속 차단 확인,userdel ftp로 계정 삭제 및 FTP 설정파일에서 anonymous_enable=NO 설정,True,
22,"rsh, rlogin, rexec 서비스 비활성화 확인","/etc/xinetd.d  하위의 rlogin ,rsh, rexec 파일에서 disable=yes 설정",False,
23, DoS 공격에 취약한 서비스 비활성화,파일 존재 시 disable=yes 설정,False,
24,NFS 서비스 비활성화,NFS 데몬(nfsd)을 중지,False,
25,NFS 접근 통제,everyone 마운트 제거 및 /etc/exports 파일에서 접근 통제 설정,False,
26,automountd 제거, kill -p [automountd  서비스 PID] 명령어 실행 및 부팅스크립트에서 automountd 제거,False,
27,rpc 서비스 확인,/etc/xinetd.d 파일에서 disable=yes 설정,False,
28,NIS/NIS+ 서비스 점검,NFS 서비스 데몬 중지,False,
29,"tftp, talk 서비스 비활성화",every 마운트 제거 및 /etc/exports 파일에서 접근 통제 설정,False,
30,Sendmail  버전 점검,Sendmail 및 Postfix 최신 버전 패치 진행,True,
31,스팸 메일 릴레이 제한 설정,릴레이 접근 제한 설정,True,
32,일반 사용자의 Sendmail 실행 방지,"O PrivacyOptions= 설정 부분에 restrictqrun 옵션 추가 및 postfix 파일 접근 권한, 소유자 변경, postfix 그룹의 일반 사용자 제거",True,
33,DNS  보안 버전 패치,BIND 최신 보안 패치 버전 업데이트 및 DNS 데몬 중지,False,
34,DNS ZoneTransfer 설정, 특정 서버 Zone Transfer 지정 및 특정 도메인의 Zone에 대해서 제한일 경우 설정 ,True,
35,최신 보안패치 및 벤더 권고사항 적용,EOL 상태가 아닌 Linux OS 버전으로 업데이트 및  최신 보안 패치 적용 Kernel 버전으로 업데이트,True,
